name,date
dog/Colombia/COR-U117/2021,2021-04-26
USA/AZ-TG1047429/2020,2020-09-01
USA/AZ-TG969462/2020,2020-09-05
USA/AZ-TG960399/2020,2020-09-04
USA/AZ-TG808524/2020,2020-08-25
USA/AZ-TG808539/2020,2020-08-25
USA/FL-BPHL-1718/2020,2020-09-30
cat/USA/20-023409-001/2020,2020-08-10
France/IDF-IPP3129/2020,2020-03-20
Denmark/DCGC-73109/2021,2021-01-04
Spain/CL-MS00751/2021,2021-02-17
Canada/ON-PHL-20-00142/2020,2020-05-15
USA/WI-MCW-CA009/2020,2020-04-01
Iceland/838/2020,2020-03-29
USA/MD-HP06614-PIDQFIJMRG/2020,2020-04-06
France/PAC-IHU-37945-Nova1M/2020,2020-04-15
France/PAC-IHU-39645_Nova1/2020,2020-03-15
France/PAC-IHU-38117-Nova1M/2020,2020-04-15
Australia/VIC221/2020,2020-03-20
Germany/HH-HPI-p4724/2021,2021-02-28
Belgium/ULG-10424/2020,2020-08-14
Luxembourg/LNS1586475/2020,2020-05-08
Senegal/SN-MBO-201719/2021,2021-01-12
USA/MN-MDH-8124/2021,2021-05-24
USA/FL-CDC-STM-000038522/2021,2021-03-18
USA/MA-CDC-LC0037326/2021,2021-03-26
USA/MA-MASPHL-03041/2021,2021-04-02
cat/USA/NJ-21-007630-001/2021,2021-03-06
dog/USA/CT-21-007025-001/2021,2021-03-03
USA/NY-MSHSPSP-PV27528/2021,2021-02-03
USA/FL-CDC-QDX24365418/2021,2021-04-27
USA/NY-PRL-2021_0624_52C08/2021,2021-01-25
USA/FL-CDC-ASC210070904/2021,2021-04-14
dog/USA/FL-21-002342-001/2021,2021-01-15
USA/NY-PRL-2021_03_11_00E06/2021,2021-03-08
USA/MI-MDHHS-SC25841/2021,2021-03-16
USA/NJ-CDC-LC0036106/2021,2021-03-27
USA/VA-CDC-LC0032951/2021,2021-03-20
USA/NC-CDC-LC0033400/2021,2021-03-16
USA/NY-CDC-LC0036602/2021,2021-03-24
USA/NY-PRL-2021_0623_52H22/2021,2021-01-29
USA/CA-CDPH-2000024295/2021,2021-01-13
Mexico/JAL_LANGEBIO_IMSS_30326-NC/2021,2021-03-16
Belize/CML-54/2021,2021-02-25
USA/WY-WYPHL-21026429/2021,2021-03-28
USA/AZ-ASU4198/2021,2021-04-01
USA/CA-CDPH-2000019739/2021,2021-01-04
USA/WV-WVU-WV028356/2021,2021-01-23
cat/USA/CA-21-003696-001/2021,2021-01-30
USA/AZ-ASU7995/2021,2021-02-12
USA/CA-CDPH-3000022812/2021,2021-02-27
USA/CA-CDPH-3000018767/2021,2021-02-22
USA/CA-CDPH-2000029424/2021,2021-01-19
cat/USA/AZ-21-004025-001/2021,2021-01-29
USA/FL-CDC-STM-000043969/2021,2021-03-23
USA/MI-CDC-STM-000038603/2021,2021-03-17
Belize/CML-56/2021,2021-03-15
USA/CA-ALSR-8625/2020,2020-12-21
USA/OH-PLMI-HNYM7-00100/2021,2021-03-15
USA/MA-CDC-LC0020495/2021,2021-02-23
USA/WI-CDC-LC0049349/2021,2021-04-14
USA/IL-CDC-LC0033294/2021,2021-03-16
USA/CA-CDPH-2000023090/2021,2021-01-05
USA/CA-CDPH-2000023087/2021,2021-01-05
USA/NH-CDC-LC0041226/2021,2021-04-07
USA/TX-HMH-MCoV-30681/2021,2021-02-25
USA/TX-HMH-MCoV-23779/2021,2021-01-15
USA/CA-LACPHL-AF00829/2021,2021-03-06
USA/TX-HMH-MCoV-27823/2021,2021-02-12
USA/TX-HMH-MCoV-25833/2021,2021-02-03
USA/AZ-ASU17932/2021,2021-01-19
USA/FL-Shands-VTM-719/2021,2021-01-15
USA/CA-UCSF-CC122/2021,2021-03-25
USA/CA-UCSF-CC523/2021,2021-03-25
USA/TX-HMH-MCoV-30805/2021,2021-02-28
USA/RI-CDC-LC0039951/2021,2021-04-05
USA/NY-PRL-2021_02_17_00M01/2021,2021-02-15
USA/TX-CDC-FG-027203/2021,2021-04-15
USA/TX-HMH-MCoV-43697/2020,2020-07-07
USA/TX-HMH-MCoV-39699/2020,2020-08-07
USA/TX-HMH-MCoV-44464/2020,2020-07-28
Hong_Kong/HKU-200723-104/2020,2020-05-21
Sweden/01_SE100_21CS508551/2020,2020-04-15
Sweden/01_SE100_21CS505371/2020,2020-04-07
Kenya/C71646/2020,2020-11-16
Denmark/DCGC-39570/2021,2021-01-25
dog/USA/PA-20-037287-001/2020,2020-12-14
cat/Argentina/PAIS-A0344/2020,2020-09-05
dog/Argentina/PAIS-A0642/2020,2020-11-11
puma/Argentina/PAIS-A0641/2020,2020-12-12
Canada/ON-PHL-20-01436/2020,2020-07-15
USA/TX-HMH-MCoV-41724/2020,2020-07-21
USA/TX-HMH-MCoV-32941/2020,2020-12-16
USA/CT-Yale-3208/2021,2021-03-26
USA/NY-PRL-2021_03_31_00G12/2021,2021-03-28
USA/NY-PRL-2021_03_15_00F14/2021,2021-03-12
India/JH-ILSGS02173/2021,2021-04-13
USA/NM-CDC-ASC210021399/2021,2021-03-25
USA/TX-HMH-MCoV-35186/2020,2020-08-10
Sweden/01_SE100_21CS505383/2020,2020-04-08
USA/CO-CDPHE-2005260955/2020,2020-05-26
USA/CO-CDPHE-2005222197/2020,2020-05-21
USA/TX-HMH-MCoV-43718/2020,2020-07-02
USA/un-Wadsworth-21023351-01/2021,2021-02-06
USA/NY-Wadsworth-21020871-01/2021,2021-02-03
USA/ID-IBL-614251/2020,2020-04-02
tiger/USA/NY-3-040420/2020,2020-04-04
USA/MA-MGH-01397/2020,2020-05-06
tiger/USA/MN-21-001483-001/2021,2021-01-10
cat/USA/PA-20-029571-001/2020,2020-10-02
cat/USA/20-024092-001/2020,2020-08-17
cat/USA/TX-TAMU-057/2020,2020-07-17
Canada/ON-PHL-20-80189/2020,2020-03-15
USA/TX-HMH-MCoV-42357/2020,2020-07-13
cat/USA/MN-20-014543-001/2020,2020-05-20
USA/UT-UPHL-201011705/2020,2020-05-29
deer/USA/IA-204478/2020,2020-12-05
deer/USA/IA-203705/2020,2020-12-09
USA/VA_NIDDL_6319/2020,2020-06-05
India/DL-NCDC-11098/2021,2021-01-27
Switzerland/AG-ETHZ-400003/2020,2020-12-09
Madagascar/IPM-04502/2020,2020-04-22
USA/FL-BPHL-0282/2020,2020-05-13
tiger/USA/NY-040420/2020,2020-04-02
USA/KS-KHEL-0826/2020,2020-05-21
dog/Germany/BY-MVP-000002395/2020,2020-11-24
USA/AZ-TG580392/2020,2020-08-05
USA/WY-WYPHL-00048/2020,2020-03-25
USA/NJ-NYGC-NJ-BioR-618-swab-QIAseq/2020,2020-11-18
USA/CA-SEARCH-15775/2021,2021-01-18
USA/LA-CDC-2-4084832/2021,2021-01-06
USA/LA-CDC-2-4084821/2021,2021-01-14
USA/LA-EVTL823/2020,2020-07-28
England/CAMB-81465/2020,2020-04-10
Sweden/01_SE100_21CS504548/2020,2020-04-13
cat/USA/CA-20-018091-001/2020,2020-06-25
USA/NY-NYCPHL-001936/2020,2020-12-23
USA/TX-HMH-MCoV-40805/2020,2020-07-22
USA/WA-UW-66344/2021,2021-03-03
USA/NM-LANL-2020016419/2020,2020-04-07
USA/NE-MP_NCOV20-15159/2020,2020-05-11
Denmark/DCGC-922/2020,2020-03-30
USA/MA-Yale-1299/2020,2020-04-08
USA/TX-HMH-MCoV-39785/2020,2020-08-06
