task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
124	f5/7ae1de	1221206	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (4534)	COMPLETED	0	2022-02-14 11:43:00.463	853ms	0ms	103.2%	3 MB	5.4 MB	78.6 KB	3.1 KB
121	13/3cdae3	1221447	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (4534)	COMPLETED	0	2022-02-14 11:43:01.318	3.3s	3s	99.4%	163.4 MB	40.4 GB	19.5 MB	314.9 KB
165	89/2d96d6	1222156	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (4534)	COMPLETED	0	2022-02-14 11:43:04.608	825ms	0ms	66.7%	3 MB	5.4 MB	151.7 KB	12.5 KB
126	82/0a272c	1222155	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (4538)	COMPLETED	0	2022-02-14 11:43:04.605	1.9s	0ms	72.7%	2.8 MB	11 MB	145.7 KB	996 B
127	a4/7b44a8	1222797	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (3165)	COMPLETED	0	2022-02-14 11:43:06.477	623ms	0ms	64.0%	3.2 MB	5.4 MB	77.3 KB	3.1 KB
130	95/c08855	1223089	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (4538)	COMPLETED	0	2022-02-14 11:43:07.101	550ms	0ms	69.6%	3.1 MB	5.4 MB	82.4 KB	3.2 KB
129	ca/e1d161	1223375	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (4538)	COMPLETED	0	2022-02-14 11:43:07.653	558ms	0ms	200.0%	3 MB	5.4 MB	97.7 KB	4.9 KB
163	b9/7c58ff	1221757	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (4534)	COMPLETED	0	2022-02-14 11:43:03.324	5.6s	5s	89.6%	29.1 MB	40.3 MB	111.9 MB	96 MB
131	e1/aa531b	1223695	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (4538)	COMPLETED	0	2022-02-14 11:43:08.213	1.1s	1s	176.0%	3.1 MB	5.4 MB	16 MB	59.3 KB
132	2c/2fe4a4	1224013	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (3165)	COMPLETED	0	2022-02-14 11:43:09.304	869ms	0ms	221.8%	3.1 MB	5.4 MB	90.8 KB	3.4 KB
133	d9/2ffe23	1224277	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (3165)	COMPLETED	0	2022-02-14 11:43:10.175	1.8s	0ms	61.5%	2.8 MB	11 MB	376.3 KB	1.3 KB
137	ee/478bba	1224517	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (3165)	COMPLETED	0	2022-02-14 11:43:11.936	739ms	0ms	181.1%	3.1 MB	5.4 MB	97.8 KB	4.8 KB
136	d9/b39637	1224786	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (3165)	COMPLETED	0	2022-02-14 11:43:12.678	847ms	0ms	94.1%	3 MB	5.4 MB	82.5 KB	3.2 KB
135	2e/cea4fe	1225028	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (3165)	COMPLETED	0	2022-02-14 11:43:13.528	1.2s	1s	196.0%	11.1 MB	15.9 MB	16 MB	58.7 KB
138	90/bcc432	1225312	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (3182)	COMPLETED	0	2022-02-14 11:43:14.715	869ms	0ms	112.3%	3.1 MB	5.4 MB	76.7 KB	3.1 KB
140	fc/7c7eba	1225551	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (3182)	COMPLETED	0	2022-02-14 11:43:15.586	864ms	0ms	203.6%	3.1 MB	5.4 MB	88.9 KB	1.4 KB
141	7e/71b9be	1225821	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (3182)	COMPLETED	0	2022-02-14 11:43:16.453	1.8s	0ms	101.3%	2.8 MB	11 MB	612.9 KB	908 B
143	0f/419669	1226061	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (3182)	COMPLETED	0	2022-02-14 11:43:18.260	747ms	0ms	50.0%	3.1 MB	5.4 MB	78.9 KB	3.2 KB
