task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
24	88/da7340	1621039	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (4581_P0)	COMPLETED	0	2022-03-02 23:08:43.223	2.2s	2s	271.5%	193.8 MB	3.7 GB	30.1 MB	15.4 MB
25	c5/fa58ab	1621326	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (4649_P0)	COMPLETED	0	2022-03-02 23:08:45.504	2.6s	2s	282.4%	274.6 MB	3.7 GB	42.9 MB	21.3 MB
26	c6/bf7129	1621608	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (4645_P0)	COMPLETED	0	2022-03-02 23:08:48.135	3.5s	3s	219.8%	299.4 MB	3.7 GB	47 MB	23.6 MB
27	74/c6bff6	1621951	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (4658_P0)	COMPLETED	0	2022-03-02 23:08:51.615	1.1s	0ms	124.8%	6.5 MB	220.8 MB	17 MB	5.1 KB
28	b4/bba9a2	1622167	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (4581_P0)	COMPLETED	0	2022-03-02 23:08:52.687	1.1s	0ms	129.7%	6.5 MB	220.8 MB	15.5 MB	5.1 KB
29	8f/95cb12	1622386	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (4649_P0)	COMPLETED	0	2022-03-02 23:08:53.786	1.2s	0ms	118.8%	6.4 MB	220.8 MB	21.4 MB	5.2 KB
30	fc/951b57	1622602	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (4645_P0)	COMPLETED	0	2022-03-02 23:08:54.965	1.2s	0ms	117.6%	6.3 MB	220.8 MB	23.7 MB	5.3 KB
33	b0/982270	1622828	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (4581_P0)	COMPLETED	0	2022-03-02 23:08:56.207	980ms	0ms	92.3%	3 MB	5.4 MB	110.3 KB	4.8 KB
32	ce/6eaef5	1623123	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (4658_P0)	COMPLETED	0	2022-03-02 23:08:57.192	790ms	0ms	123.1%	3 MB	5.4 MB	110.2 KB	4.8 KB
31	70/43d204	1623313	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (4658_P0)	COMPLETED	0	2022-03-02 23:08:57.990	2.3s	1s	117.4%	7.2 MB	222.2 MB	17 MB	90.4 KB
35	79/732b2b	1623591	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (4649_P0)	COMPLETED	0	2022-03-02 23:09:00.260	861ms	0ms	106.7%	3 MB	5.4 MB	110.3 KB	4.8 KB
36	b4/6e9892	1623836	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (4581_P0)	COMPLETED	0	2022-03-02 23:09:01.126	1.1s	0ms	124.6%	6.4 MB	220.8 MB	15.5 MB	5.3 KB
37	21/127d0d	1624052	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (4645_P0)	COMPLETED	0	2022-03-02 23:09:02.259	1.1s	0ms	66.7%	0	0	110.4 KB	4.8 KB
38	b0/bae0db	1624381	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (4649_P0)	COMPLETED	0	2022-03-02 23:09:03.397	1.2s	1s	124.8%	6.4 MB	220.8 MB	21.4 MB	5.3 KB
