,Omicron,Omicron,Omicron,Omicron,Omicron,Omicron,Omicron,Omicron,Omicron,Omicron,D614G,D614G,D614G,D614G,D614G,D614G,D614G,D614G,D614G,D614G,4581/4645,4581/4645,4581/4645,4581/4645,4581/4645,4581/4645,4581/4645,4581/4645,4581/4645,4581/4645,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,ON_PHL_21_44225,ON_PHL_21_44225,ON_PHL_21_44225,ON_PHL_21_44225,ON_PHL_21_44225,ON_PHL_21_44225,ON_PHL_21_44225,ON_PHL_21_44225,ON_PHL_21_44225,ON_PHL_21_44225
Naïve,0.464516,0.348387,0.403226,0.619355,0.403226,0.403226,0.416129,0.474194,0.490323,0.651613,0.43871,0.32903,0.34516,0.50323,0.41936,0.35807,0.31516,0.39032,0.43871,0.82258,0.166707,0.085251,0.089298,0.189474,0.067543,0.110801,0.063495,0.085251,0.166707,0.379202,0.200275,0.125887,0.125887,0.181201,0.109538,0.102181,0.048502,0.083652,0.238423,0.399188,0.295651,0.149650,0.171299,0.162237,0.166768,0.166768,0.085209,0.119443,0.315789,0.441651
"2 doses",15.390320,11.745160,1.848387,4.661290,5.190323,3.900000,0.506452*,10.325810,16.393550,5.319355,30.68710,27.37419,5.23871,25.21613,19.03226,12.53548,0.43871*,29.07742,47.70323,22.59032,30.677400,25.304320,3.475553,11.398570,13.189600,8.294629,0.107006*,16.318830,29.915960,8.924524,23.312310,26.067110,3.799779,11.938850,13.816260,8.282129,0.109538*,17.925310,37.778440,10.031470,27.285570,24.738110,4.016141,9.463462,10.817740,8.275321,0.196975*,17.161200,28.221980,10.279050
"3 doses",9.709677,20.703230,8.783871,29.667740,20.000000,22.787100,15.783870,8.222581,11.674190,14.274190,31.52581,56.81613,25.10323,52.96774,50.55484,68.25806,46.18065,31.10323,35.62903,40.12258,25.233490,54.461630,21.522420,68.233310,43.583930,52.232970,30.677400,16.409900,23.533530,26.533760,26.214250,61.334620,25.922700,55.487130,42.467880,50.473440,33.415990,20.385840,30.056270,27.486750,18.621200,38.829660,24.597150,60.362180,40.380280,50.489540,29.762540,17.951620,25.800390,24.597150
Convalescent,1.525806,5.180645,1.364516,6.929032,1.351613,3.154839,8.716129,0.832258,2.380645,4.454839,3.16129,16.70968,2.66452,16.95806,2.83548,11.98710,27.31290,1.26129,6.40968,12.56129,3.263058,14.345670,2.711584,17.945430,1.386022,7.224566,16.546510,0.573989,3.799354,6.923532,3.456450,15.628280,3.243913,22.170600,1.445524,10.085970,20.557500,0.914181,3.358356,7.355686,3.719106,13.501120,2.974001,28.065910,3.558002,10.369670,17.850930,0.874617,4.066486,7.882631
